Name,Is E2EE,Is E2EE by default,Can E2EE be enabled,Can E2EE be disabled,Is E2EE Reference,E2EE Protocol,Is Official Client OSS,Is Server OSS,Organization,Million users,Official Site,Wikipedia Page,Repos,Official client source code,Server source code
Signal,Yes,Yes,Yes,No,,Double Ratchet Algorithm,Yes,No,Signal,,https://signal.org/,https://en.wikipedia.org/wiki/Signal_Messenger,https://github.com/signalapp,https://github.com/signalapp/Signal-Desktop,
Matrix (Riot),Yes,Yes,Yes,Yes,https://matrix.org/faq#what-is-the-status-of-e2e,Double Ratchet Algorithm,Yes,Yes,Matrix,<1,https://matrix.org/,https://en.wikipedia.org/wiki/Matrix_(protocol),https://github.com/matrix-org,https://github.com/matrix-org,
Wire,Yes,Yes,,,https://wire.com/en/security/,Double Ratchet Algorithm,Yes,Yes,Wire ,,https://app.wire.com/,https://en.wikipedia.org/wiki/Wire_(software),https://github.com/wireapp,https://github.com/wireapp/wire-webapp,https://github.com/wireapp/wire-server
Keybase,Yes,Yes,,No,https://keybase.io/blog/keybase-chat,,Yes,No,Keybase,,https://keybase.io,https://en.wikipedia.org/wiki/Keybase,,https://github.com/keybase,
Rocket.Chat,Yes,Yes,Yes,Yes,https://rocket.chat/security,,Yes,Yes,,,https://rocket.chat/,,https://github.com/RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,
Status,Yes,Yes,Yes,Yes,,,Yes,,,,https://status.im/,,https://github.com/status-im,,
WhatsApp,Yes,Yes,Yes,No,https://www.whatsapp.com/security/,Double Ratchet Algorithm,No,No,Facebook ,1200,https://www.whatsapp.com/,https://en.wikipedia.org/wiki/WhatsApp,,,
Discord ,No,,,,,,No,No,Discord inc. ,250,https://discordapp.com/,https://en.wikipedia.org/wiki/Discord_(software),,,
Slack,No,,,,https://slack.com/intl/en-gb/security,,No,No,Slack Inc.,,https://slack.com/,https://en.wikipedia.org/wiki/Slack_(software),,,
Telegram ,Not by default,No,Yes,Yes,https://en.wikipedia.org/wiki/Telegram_(software)#Security,,Yes,No,Telegram Messenger LLP ,400,https://telegram.org/,https://en.wikipedia.org/wiki/Telegram_(software),https://github.com/telegramdesktop,https://github.com/telegramdesktop/tdesktop,
Jitsi Meet,No,Soon,,,,,Yes,Yes,Jitsi,,https://meet.jit.si/,https://en.wikipedia.org/wiki/Jitsi,https://github.com/jitsi/,https://github.com/jitsi/jitsi-meet,https://github.com/jitsi/jigasi
Zoom,No,,,,https://zoom.us/security,,No,No,Zoom inc.,,https://zoom.us/,https://en.wikipedia.org/wiki/Zoom_Video_Communications,,,
HouseParty,No,,,,https://www.digitaltrends.com/news/houseparty-privacy-tracking-security/,,No,No,,,https://www.houseparty.com/,https://en.wikipedia.org/wiki/Houseparty_(app),,,
Mattermost,No,No,,,https://mattermost.com/security/,,Yes,Yes,"Mattermost, Inc",,https://mattermost.com/,https://en.wikipedia.org/wiki/Mattermost,https://github.com/mattermost,https://github.com/mattermost/desktop,https://github.com/mattermost/mattermost-server
